asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance_meter,speed_filled,meter_filled,avrg_speed_5,avrg_speed_10,avrg_speed_30,avrg_speed_all,distance_speed,distance_cum,delay,fuel
487,2017-10-01 14:35:44,57.0,30279.0,nan,nan,3181153.0,nan,nan,nan,nan,3228050.0,59.760000000000005,60.0,nan,nan,15.833333333333334,nan,1.0,3.0
487,2017-10-01 14:35:45,53.0,27462.0,nan,nan,3181156.0,nan,nan,nan,nan,3228050.0,74.7,54.0,nan,nan,14.722222222222221,nan,1.0,3.0
487,2017-10-01 14:36:01,nan,nan,nan,nan,nan,nan,nan,nan,53.0,3228050.0,nan,0.0,26.279999999999998,nan,235.55555555555554,nan,16.0,nan
487,2017-10-01 14:36:05,44.0,22984.0,1320.0,48.0,3181181.0,3228332.0,nan,0.0,nan,nan,nan,nan,nan,nan,48.888888888888886,nan,4.0,25.0
487,2017-10-01 14:36:23,nan,nan,nan,nan,nan,nan,nan,nan,44.0,3228332.0,nan,nan,46.14545454545455,nan,220.0,nan,18.0,nan
487,2017-10-01 14:36:26,52.0,27871.0,1493.0,nan,3181233.0,3228598.0,nan,0.0,nan,nan,nan,nan,nan,nan,43.333333333333336,nan,3.0,52.0
487,2017-10-01 14:36:56,46.0,25493.0,1308.0,0.0,3181294.0,3229016.0,nan,0.0,nan,nan,nan,nan,nan,nan,383.33333333333337,nan,30.000000000000004,61.0
487,2017-10-01 14:37:27,59.0,30871.0,1492.0,16.0,3181343.0,3229351.0,nan,0.0,nan,nan,nan,nan,nan,nan,508.05555555555566,nan,31.000000000000004,49.0
487,2017-10-01 14:37:37,73.0,39336.0,2088.0,68.0,3181369.0,3229543.0,nan,0.0,nan,nan,nan,nan,nan,nan,202.77777777777777,nan,10.0,26.0
487,2017-10-01 14:37:39,77.0,40372.0,nan,nan,nan,nan,nan,nan,nan,3229543.0,nan,nan,nan,nan,42.77777777777778,nan,2.0,nan
487,2017-10-01 14:37:40,78.0,40466.0,nan,nan,nan,nan,nan,nan,nan,3229543.0,nan,nan,nan,nan,21.666666666666668,nan,1.0,nan
