asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE
2371,2017-10-19T13:29:27Z,34,%25488%,%1503%,%46%,3117417,%11244620%,%40241%
2371,2017-10-19T13:29:28Z,30,%25488%,1184,%46%,%3117417%,%11244620%,%40241%
2371,2017-10-19T13:29:31Z,26,%25488%,%1184%,%46%,3117419,%11244620%,%40241%
2371,2017-10-19T13:30:25Z,0,1839,698,18,3117430,%11244620%,%40241%
2371,2017-10-19T13:30:25Z,%0%,%1839%,%698%,%18%,%3117430%,%11244620%,%40241%
2371,2017-10-19T13:30:33Z,%0%,765,695,%18%,3117432,%11244620%,%40241%
2371,2017-10-19T13:30:34Z,3,2227,%695%,%18%,%3117432%,%11244620%,%40241%
2371,2017-10-19T13:30:40Z,25,13154,1986,36,3117434,11250511,%40241%
2371,2017-10-19T13:30:41Z,26,14463,%1986%,%36%,3117435,%11250511%,%40241%
2371,2017-10-19T13:30:42Z,28,12347,1593,%36%,3117437,11250550,%40241%
2371,2017-10-19T13:30:44Z,31,11119,%1593%,%36%,3117440,%11250550%,%40241%
2371,2017-10-19T13:30:45Z,32,%11119%,%1593%,%36%,3117441,%11250550%,%40241%
2371,2017-10-19T13:30:45Z,%32%,%11119%,%1593%,%36%,%3117441%,%11250550%,%40241%
2371,2017-10-19T13:30:47Z,33,9107,1356,%36%,3117443,11250572,%40241%
2371,2017-10-19T13:30:48Z,32,12485,%1356%,%36%,3117445,%11250572%,%40241%
2371,2017-10-19T13:30:50Z,33,17775,%1356%,%36%,3117448,11250606,%40241%
2371,2017-10-19T13:30:52Z,%33%,18135,1385,%36%,%3117448%,%11250606%,%40241%
2371,2017-10-19T13:30:55Z,34,18000,%1385%,%36%,3117449,%11250606%,%40241%
2371,2017-10-19T13:30:55Z,%34%,18323,%1385%,%36%,%3117449%,11250652,%40241%
2371,2017-10-19T13:30:58Z,%34%,18823,1350,%36%,%3117449%,%11250652%,%40241%
2371,2017-10-19T13:31:00Z,28,%18823%,%1350%,%36%,3117450,11250694,%40241%
2371,2017-10-19T13:31:06Z,24,%18823%,1592,18,3117451,11250702,%40241%
2371,2017-10-19T13:31:08Z,23,%18823%,1320,%18%,3117452,%11250702%,%40241%
2371,2017-10-19T13:31:10Z,22,%18823%,%1320%,%18%,%3117452%,%11250702%,%40241%
2371,2017-10-19T13:31:10Z,%22%,%18823%,%1320%,%18%,%3117452%,%11250702%,%40241%
2371,2017-10-19T13:31:12Z,26,13203,1698,%18%,3117453,%11250702%,%40241%
2371,2017-10-19T13:31:12Z,%26%,%13203%,%1698%,%18%,%3117453%,%11250702%,%40241%
2371,2017-10-19T13:31:26Z,22,12188,1200,%18%,3117458,11250899,%40241%
2371,2017-10-19T13:31:27Z,24,11655,%1200%,%18%,3117459,11250920,%40241%
