asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE
2371,2017-10-02T14:33:22Z,68,38335,1464,43,2863026, , 
2371,2017-10-02T14:33:22Z, , , , , , , 
2371,2017-10-02T14:33:42Z,76,41877,1591,10,2863043,8667788,37293
2371,2017-10-02T14:33:43Z, ,42079,1574, ,2863044, , 
2371,2017-10-02T14:33:44Z, , , , , , , 
2371,2017-10-02T14:33:46Z, ,41445, , , ,8667872, 
2371,2017-10-02T14:33:55Z,78, ,1626, ,2863058, , 
2371,2017-10-02T14:34:04Z,77, ,1599, ,2863067, , 
2371,2017-10-02T14:34:06Z,76, , , ,2863068, , 
2371,2017-10-02T14:34:14Z,74, ,1525,27,2863072, ,37294
2371,2017-10-02T14:34:27Z,51, ,1368, ,2863077, , 
2371,2017-10-02T14:34:28Z,50, , , , , , 
2371,2017-10-02T14:34:29Z, , ,1399, , , , 
2371,2017-10-02T14:34:30Z, , , , ,2863080, , 
2371,2017-10-02T14:34:37Z,60, ,1583, ,2863097, , 
2371,2017-10-02T14:34:39Z,62, ,1774,35,2863100, , 
2371,2017-10-02T14:34:42Z,66, , , ,2863104, , 
2371,2017-10-02T14:34:44Z,67, ,1848, ,2863106, , 
2371,2017-10-02T14:34:45Z,68, , , ,2863107, , 
2371,2017-10-02T14:34:46Z,69, , , ,2863108, , 
2371,2017-10-02T14:34:47Z,70, , , ,2863109, , 
2371,2017-10-02T14:34:54Z,74, ,2051, ,2863113, , 
2371,2017-10-02T14:34:58Z,73,32541, , ,2863114, , 
2371,2017-10-02T14:34:58Z, , , , , , , 
2371,2017-10-02T14:35:08Z,58,32735,1353, ,2863118,8669372, 
2371,2017-10-02T14:35:09Z,56,31783,1535, ,2863119,8669436,37295
2371,2017-10-02T14:35:10Z,54,30255, ,11, , , 
2371,2017-10-02T14:35:11Z, , , , ,2863120, , 
2371,2017-10-02T14:35:12Z, ,31037, , , ,8669497, 
2371,2017-10-02T14:35:16Z,57,30057,1572, ,2863121, , 
2371,2017-10-02T14:35:17Z, , , , ,2863122, , 
2371,2017-10-02T14:35:18Z,58, , , , ,8669575, 
2371,2017-10-02T14:35:24Z, ,33247,1575, ,2863124, , 
2371,2017-10-02T14:35:25Z,54, , , , ,8669694, 
2371,2017-10-02T14:35:27Z, , , , , , , 
2371,2017-10-02T14:35:31Z,9,7900,1120, ,2863126,8669764, 
2371,2017-10-02T14:35:40Z,2,1714,1757,24,2863127,8669830, 
2371,2017-10-02T14:36:27Z,0,0,0,0,2863130, , 
2371,2017-10-02T14:36:30Z, ,592, , , , , 
2371,2017-10-02T14:36:32Z, , , , , , , 
2371,2017-10-02T14:36:42Z, , , , , , , 
2371,2017-10-02T14:38:42Z, , , , , , , 
2371,2017-10-02T14:38:45Z, ,0, , , , , 
2371,2017-10-02T14:38:45Z, , , , , , , 
2371,2017-10-02T14:39:01Z, ,82, , , , , 
2371,2017-10-02T14:39:05Z, ,578, , , , , 
2371,2017-10-02T14:39:15Z, , , , , , , 
2371,2017-10-02T14:39:46Z, , , , , , , 
2371,2017-10-02T14:39:46Z, , , , , , , 
2371,2017-10-02T14:39:47Z, , , , , , , 
2371,2017-10-02T14:39:47Z, , , , , , , 
2371,2017-10-02T14:39:47Z, , , , , , , 
2371,2017-10-02T14:39:47Z, , , , , , , 
2371,2017-10-02T14:39:47Z, , , , , , , 
2371,2017-10-02T14:40:33Z, , , , , , , 
2371,2017-10-02T14:42:28Z, , , , , , , 
2371,2017-10-02T14:44:24Z, , , , , , , 
2371,2017-10-02T14:46:20Z, , , , , , , 
2371,2017-10-02T14:48:16Z, , , , , , , 
2371,2017-10-02T16:58:09Z, , ,2285,56,2868843, , 
2371,2017-10-02T16:58:26Z,107, ,2206, ,2868868, ,37376
2371,2017-10-02T16:58:27Z, , , , ,2868869, , 
2371,2017-10-02T16:58:28Z,106, , , ,2868871, , 
2371,2017-10-02T16:58:29Z, , , , ,2868872, , 
2371,2017-10-02T16:58:35Z, , ,2192, ,2868879, , 
2371,2017-10-02T16:58:36Z,105, ,2184, ,2868880, , 
2371,2017-10-02T16:58:37Z, , , ,70, , , 
2371,2017-10-02T16:59:05Z,104, ,2173, ,2868952, ,37377
2371,2017-10-02T16:59:06Z, , ,2165, ,2868955, , 
2371,2017-10-02T16:59:15Z,101, ,2113,44,2868977, ,37378
2371,2017-10-02T16:59:31Z,100, ,2091, ,2869009, , 
2371,2017-10-02T16:59:35Z,99, , , ,2869020, , 
2371,2017-10-02T16:59:49Z,103, ,2112,84,2869070, , 
2371,2017-10-02T16:59:50Z, , , , ,2869074, , 
2371,2017-10-02T16:59:51Z,104, ,2173, ,2869079, ,37379
2371,2017-10-02T16:59:52Z,105, , , , , , 
2371,2017-10-02T16:59:56Z,107, ,2204, ,2869097, , 
2371,2017-10-02T17:00:00Z, ,59148, , ,2869107, , 
2371,2017-10-02T17:00:00Z, , , , , , , 
2371,2017-10-02T17:00:05Z,106,58422,2296, ,2869118,8751723, 
2371,2017-10-02T17:00:06Z,105, , ,40,2869120, , 
2371,2017-10-02T17:00:07Z, ,57990,2258, , ,8751839, 
2371,2017-10-02T17:00:09Z, ,57981, , ,2869123, , 
2371,2017-10-02T17:00:11Z,104,56710, , ,2869125,8751957, 
2371,2017-10-02T17:00:16Z, ,56683,2162, ,2869132,8752015, 
2371,2017-10-02T17:00:16Z, ,56344, , , , , 
2371,2017-10-02T17:00:26Z,101,54617,2107, ,2869158,8752384,37380
2371,2017-10-02T17:00:28Z, ,54937,2089, ,2869160, , 
2371,2017-10-02T17:00:34Z,103, ,2148, ,2869176,8752440, 
2371,2017-10-02T17:00:37Z, , ,2144,38,2869182, , 
2371,2017-10-02T17:00:38Z, , , , , , , 
